BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,11.00,AD,40.00,440.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,20.00,40.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,AD,100.00,100.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00002168,BOYAMA İŞİ METAL KAĞITLIK-RAL 9005 SİYAH İNCE PÜTÜRLÜ,18.00,AD,60.00,"1,080.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00002230,BOYAMA İŞİ REINA AYAK 22CM 9005 İNCE PÜTÜRLÜ,46.00,AD,20.00,920.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00002245,BOYAMA İŞİ METAL YILDIZ AYAK RAL 9005 MAT SİYAH İNCE PÜTÜRLÜ,60.00,AD,90.00,"5,400.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00002297,BOYAMA İŞİ AKSESUAR TAŞIYICI PROFİL SİYAH RAL 9005 İNCE PÜTÜRL,18.00,AD,40.00,720.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00002354,BOYAMA İŞİ METAL BLOK NOTLUK SİYAH RAL 9005 İNCE PÜTÜRLÜ,18.00,AD,45.00,810.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00006524,BOYAMA İŞİ GRAD BERJER AYAK MAT SİYAH ASTAR,40.00,AD,200.00,"8,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,OF00006525,BOYAMA İŞİ GRAD KOLTUK AYAK MAT SİYAH ASTAR,69.00,AD,160.00,"11,040.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
